URL,low_price,image,name,normal_price
https://www.plazavea.com.pe/horno-electrico-thomas-th-60n/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/199083-220-220/20130776.jpg?v=636651215900700000,Horno Eléctrico THOMAS TH-60N,No disponible
https://www.plazavea.com.pe/batidora-de-mano-thomas-th-8830m-blanco/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/199080-220-220/20130774.jpg?v=636651215878900000,Batidora de Mano THOMAS TH-8830M Blanco,No disponible
https://www.plazavea.com.pe/toalla-de-visita-navidena-viva-home/p,S/ 1.00,https://plazavea.vteximg.com.br/arquivos/ids/204160-220-220/20144224.jpg?v=636766195464870000,Toalla de Visita Navideña VIVA HOME,S/ 9.90
https://www.plazavea.com.pe/bolsa-de-basura-virutex-50-litros-paquete-10un/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/178732-220-220/406543.jpg?v=635909118881300000,Bolsa de Basura VIRUTEX 50 litros Paquete 10Un,No disponible
https://www.plazavea.com.pe/combo-remington-laceador-de-cabello-s9960-secadora-de-cabello-d5216/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/203877-220-220/20137421.jpg?v=636760071168100000,Combo REMINGTON Laceador de Cabello S9960 + Secadora de Cabello D5216,No disponible
https://www.plazavea.com.pe/licuadora-practika-1-5l-huracan-plateado/p,S/ 99.90,https://plazavea.vteximg.com.br/arquivos/ids/194921-220-220/20134684.jpg?v=636513050546200000,Licuadora PRACTIKA 1.5L HURACAN Plateado,S/ 199.90
https://www.plazavea.com.pe/grill-panini-blackline-hb-208-negro/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/194721-220-220/20128524.jpg?v=636500649503670000,Grill Panini BLACKLINE HB-208 Negro,No disponible
https://www.plazavea.com.pe/licuadora-blackline-1-5l-2816p-negro/p,S/ 39.90,https://plazavea.vteximg.com.br/arquivos/ids/194699-220-220/20127874.jpg?v=636500649334630000,Licuadora BLACKLINE 1.5L 2816P Negro,S/ 59.90
https://www.plazavea.com.pe/batidora-manual-blackline-8027-200w-blanco/p,S/ 39.90,https://plazavea.vteximg.com.br/arquivos/ids/194713-220-220/20127880.jpg?v=636500649442970000,Batidora Manual BLACKLINE 8027 200W Blanco,S/ 89.90
https://www.plazavea.com.pe/hervidor-blackline-fk-1625-1-7l/p,S/ 69.90,https://plazavea.vteximg.com.br/arquivos/ids/194697-220-220/20127889.jpg?v=636500649320370000,Hervidor BLACKLINE FK-1625 1.7L,S/ 99.90
